date,1. open,2. high,3. low,4. close,5. volume
2020-09-09 10:02:00,7.065,7.07,7.05,7.0518,135557.0
2020-09-09 10:01:00,7.071,7.08,7.0528,7.07,264873.0
2020-09-09 10:00:00,7.0708,7.08,7.06,7.08,224031.0
2020-09-09 09:59:00,7.075,7.0772,7.06,7.07,85512.0
2020-09-09 09:58:00,7.0632,7.075,7.055,7.075,262496.0
2020-09-09 09:57:00,7.06,7.075,7.055,7.063,131272.0
2020-09-09 09:56:00,7.08,7.08,7.06,7.065,97305.0
2020-09-09 09:55:00,7.08,7.09,7.07,7.08,293354.0
2020-09-09 09:54:00,7.07,7.08,7.07,7.08,59622.0
2020-09-09 09:53:00,7.06,7.075,7.06,7.07,124781.0
2020-09-09 09:52:00,7.07,7.07,7.05,7.065,617927.0
2020-09-09 09:51:00,7.0463,7.08,7.0409,7.075,186813.0
2020-09-09 09:50:00,7.05,7.06,7.0401,7.05,355212.0
2020-09-09 09:49:00,7.04,7.065,7.04,7.05,304400.0
2020-09-09 09:48:00,7.045,7.06,7.035,7.0369,267701.0
2020-09-09 09:47:00,7.06,7.06,7.04,7.05,167411.0
2020-09-09 09:46:00,7.08,7.0897,7.0532,7.06,333006.0
2020-09-09 09:45:00,7.08,7.1,7.08,7.085,218028.0
2020-09-09 09:44:00,7.09,7.095,7.075,7.0843,110623.0
2020-09-09 09:43:00,7.07,7.09,7.0631,7.085,174516.0
2020-09-09 09:42:00,7.0472,7.08,7.045,7.065,424247.0
2020-09-09 09:41:00,7.085,7.085,7.045,7.045,173304.0
2020-09-09 09:40:00,7.095,7.1,7.07,7.09,380320.0
2020-09-09 09:39:00,7.0856,7.1,7.06,7.1,682955.0
2020-09-09 09:38:00,7.0601,7.09,7.06,7.0833,316223.0
2020-09-09 09:37:00,7.04,7.07,7.0342,7.0672,346132.0
2020-09-09 09:36:00,7.03,7.05,7.02,7.045,247300.0
2020-09-09 09:35:00,7.0272,7.05,7.02,7.035,278976.0
2020-09-09 09:34:00,7.0,7.035,7.0,7.025,570848.0
2020-09-09 09:33:00,7.045,7.045,6.99,7.0,496571.0
2020-09-09 09:32:00,7.07,7.07,7.02,7.045,637285.0
2020-09-09 09:31:00,7.07,7.09,7.06,7.06,1411669.0
2020-09-09 09:30:00,7.08,7.08,7.08,7.08,1136.0
2020-09-09 09:29:00,7.09,7.09,7.09,7.09,884.0
2020-09-09 09:28:00,7.08,7.0899,7.08,7.0899,528.0
2020-09-09 09:27:00,7.09,7.09,7.07,7.07,2532.0
2020-09-09 09:26:00,7.08,7.09,7.08,7.08,34777.0
2020-09-09 09:25:00,7.09,7.09,7.09,7.09,1158.0
2020-09-09 09:24:00,7.08,7.0802,7.08,7.0802,1055.0
2020-09-09 09:23:00,7.07,7.07,7.07,7.07,647.0
2020-09-09 09:22:00,7.09,7.09,7.07,7.07,563.0
2020-09-09 09:21:00,7.08,7.09,7.07,7.07,1938.0
2020-09-09 09:20:00,7.07,7.08,7.07,7.08,2545.0
2020-09-09 09:19:00,7.0602,7.0602,7.06,7.06,498.0
2020-09-09 09:18:00,7.0701,7.0701,7.06,7.06,926.0
2020-09-09 09:17:00,7.08,7.08,7.07,7.08,2177.0
2020-09-09 09:15:00,7.07,7.08,7.07,7.0702,1210.0
2020-09-09 09:13:00,7.06,7.06,7.06,7.06,869.0
2020-09-09 09:12:00,7.0602,7.08,7.0602,7.08,1262.0
2020-09-09 09:11:00,7.07,7.08,7.06,7.06,2562.0
2020-09-09 09:10:00,7.08,7.08,7.08,7.08,233.0
2020-09-09 09:09:00,7.0702,7.0702,7.07,7.07,3796.0
2020-09-09 09:08:00,7.07,7.0799,7.07,7.0799,489.0
2020-09-09 09:07:00,7.07,7.07,7.07,7.07,540.0
2020-09-09 09:06:00,7.0702,7.09,7.0702,7.09,588.0
2020-09-09 09:05:00,7.08,7.08,7.07,7.07,1240.0
2020-09-09 09:04:00,7.0602,7.09,7.0602,7.07,5996.0
2020-09-09 09:03:00,7.06,7.08,7.06,7.06,2444.0
2020-09-09 09:02:00,7.07,7.07,7.07,7.07,1284.0
2020-09-09 09:01:00,7.07,7.08,7.07,7.07,2959.0
2020-09-09 09:00:00,7.07,7.07,7.07,7.07,2500.0
2020-09-09 08:59:00,7.0702,7.08,7.07,7.07,3444.0
2020-09-09 08:57:00,7.09,7.09,7.08,7.08,227.0
2020-09-09 08:55:00,7.08,7.08,7.08,7.08,104.0
2020-09-09 08:54:00,7.08,7.08,7.08,7.08,1000.0
2020-09-09 08:52:00,7.08,7.08,7.08,7.08,100.0
2020-09-09 08:51:00,7.08,7.08,7.08,7.08,7101.0
2020-09-09 08:47:00,7.08,7.08,7.08,7.08,7414.0
2020-09-09 08:44:00,7.08,7.08,7.08,7.08,322.0
2020-09-09 08:36:00,7.0801,7.0801,7.0801,7.0801,301.0
2020-09-09 08:33:00,7.09,7.09,7.07,7.07,872.0
